City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
139,Coquimbo,CL,-29.9533,-71.3436,68.0,73,20,14.97,few clouds
140,Rio Gallegos,AR,-51.6226,-69.2181,64.4,34,75,18.41,broken clouds
141,Odienne,CI,9.51,-7.5692,91.87,11,0,3.94,clear sky
142,Maraba,BR,-5.3686,-49.1178,91.4,58,40,6.91,heavy intensity rain
143,Tommot,RU,58.9564,126.2925,-44.21,75,61,1.12,broken clouds
144,Mukdahan,TH,16.5833,104.5,65.21,79,65,9.04,broken clouds
145,Barrow,US,71.2906,-156.7887,-7.6,77,90,10.36,haze
146,Sorong,ID,-0.8833,131.25,79.68,79,100,4.21,light rain
147,Zhicheng,CN,30.2956,111.5047,46.99,76,63,2.08,broken clouds
148,Gayny,RU,60.3071,54.3241,19.9,97,100,9.62,overcast clouds
149,Kurumkan,RU,54.3,110.3,-14.13,81,100,2.93,overcast clouds
150,Minsk,BY,53.9,27.5667,24.8,86,75,8.95,broken clouds
151,Neuquen,AR,-38.9516,-68.0591,73.4,53,75,3.44,broken clouds
152,Manaus,BR,-3.1019,-60.025,82.4,89,75,4.61,light rain
153,Mae Sai,TH,20.4335,99.8762,68.0,100,40,2.3,scattered clouds
154,Mandalgovi,MN,45.7625,106.2708,15.71,88,91,12.97,overcast clouds
155,Acapulco,MX,16.8634,-99.8901,89.6,43,75,3.44,broken clouds
156,Iqaluit,CA,63.7506,-68.5145,-9.0,70,20,16.11,snow
157,Ribeira Grande,PT,38.5167,-28.7,64.4,88,75,16.11,broken clouds
158,Laguna,US,38.421,-121.4238,52.0,87,90,3.44,overcast clouds
159,Sindor,RU,62.8629,51.8905,21.56,97,100,9.69,overcast clouds
160,Hobart,AU,-42.8794,147.3294,53.01,76,40,4.61,scattered clouds
161,Fort Abbas,PK,29.1925,72.8536,61.32,26,0,7.36,clear sky
162,Fairbanks,US,64.8378,-147.7164,-7.01,77,90,3.44,light snow
163,Kodinsk,RU,58.6881,99.1844,-39.6,78,32,3.15,scattered clouds
164,Baltasi,RU,56.3462,50.2062,30.54,97,99,11.99,overcast clouds
165,Yemelyanovo,RU,56.1681,92.6767,-29.2,75,0,1.5,clear sky
166,Taltal,CL,-25.4,-70.4833,71.65,56,11,5.53,few clouds
167,Amapa,BR,1.0,-52.0,79.9,91,90,4.41,overcast clouds
168,Airai,TL,-8.9266,125.4092,61.48,100,100,5.23,light rain
169,Fort Nelson,CA,58.8053,-122.7002,-23.8,76,40,0.81,scattered clouds
170,Pevek,RU,69.7008,170.3133,-32.75,85,37,3.94,scattered clouds
171,Kavieng,PG,-2.5744,150.7967,82.36,76,48,14.63,scattered clouds
172,Panguna,PG,-6.3164,155.4848,71.19,98,98,4.79,overcast clouds
173,Palembang,ID,-2.9167,104.7458,74.59,95,95,4.38,moderate rain
174,Gat,IL,31.61,34.7642,55.0,42,0,1.01,clear sky
175,Vila Velha,BR,-20.3297,-40.2925,87.8,55,20,17.27,few clouds
176,Isangel,VU,-19.55,169.2667,76.21,78,6,10.18,clear sky
177,Bage,BR,-31.3314,-54.1069,87.8,55,0,3.44,clear sky
178,Yulara,AU,-25.2406,130.9889,87.8,35,90,17.27,overcast clouds
179,Buala,SB,-8.145,159.5921,81.23,84,95,13.91,light rain
180,Bredasdorp,ZA,-34.5322,20.0403,70.0,78,0,3.0,clear sky
181,Esfahan,IR,32.6572,51.6776,44.6,29,20,20.71,few clouds
182,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,67,40,3.44,scattered clouds
