City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
487,Lufilufi,WS,80.6,light intensity drizzle,-13.8745,-171.5986,Leuaina Beach Resort and Spa
491,Port-Gentil,GA,84.2,moderate rain,-0.7193,8.7815,Fengshui Residence
496,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
498,Maputo,MZ,82.99,scattered clouds,-25.9653,32.5892,Pestana Rovuma
507,Road Town,VG,78.8,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
508,Ambon,ID,78.8,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
509,Talara,PE,89.6,clear sky,-4.5772,-81.2719,Hostal Oro Negro
511,Banamba,ML,87.53,clear sky,13.55,-7.45,Kassela de Banamba
522,Port Blair,IN,79.52,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
531,Beitbridge,ZW,81.95,broken clouds,-22.2167,30.0,PETERS MOTEL & CONFERENCE CENTRE
536,Mahibadhoo,MV,81.12,clear sky,3.7833,72.9667,Omadhoo Inn
541,Beira,MZ,82.4,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
543,Sinnamary,GF,79.99,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
556,Waingapu,ID,77.9,light rain,-9.6567,120.2641,Pondok Wisata Elim
559,Samarai,PG,82.65,overcast clouds,-10.6167,150.6667,Nuli Sapi
567,Soyo,AO,80.67,overcast clouds,-6.1349,12.3689,Hotel Mpampa
568,Serpong,ID,78.01,moderate rain,-6.3169,106.6642,POP! Hotel BSD City
570,Prado,BR,82.42,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
571,Cap Malheureux,MU,79.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
576,Boueni,YT,80.6,clear sky,-12.9025,45.0761,The feet in water
578,Lazaro Cardenas,MX,85.15,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
584,Banjar,ID,78.8,moderate rain,-8.19,114.9675,The Hamsa Resort
586,Maroantsetra,MG,77.54,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
587,Antalaha,MG,78.53,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
590,Nabire,ID,76.19,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
592,Vanimo,PG,77.83,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
608,Golden Gate,US,75.99,few clouds,26.1879,-81.6951,Quality Inn & Suites Golf Resort
611,Agogo,GH,87.22,scattered clouds,6.8,-1.0819,Tele Centre Hotel
614,Hualmay,PE,76.24,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
624,Alice Springs,AU,86.0,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
625,Jega,NG,83.53,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
632,Lorengau,PG,82.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
637,Piacabucu,BR,83.28,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
638,Chongwe,ZM,75.2,moderate rain,-15.3292,28.682,Grakas Lodge
