City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Torbay,CA,2021-01-27 18:41:46,47.6666,-52.7314,30.0,80,75,13.8
124,Makakilo City,US,2021-01-27 18:41:23,21.3469,-158.0858,73.4,73,1,5.75
125,Provideniya,RU,2021-01-27 18:41:46,64.3833,-173.3,-0.56,88,95,24.29
126,Brae,GB,2021-01-27 18:41:46,60.3964,-1.353,33.8,86,20,8.05
127,Kavaratti,IN,2021-01-27 18:37:31,10.5669,72.642,80.67,66,22,8.88
128,Chuy,UY,2021-01-27 18:41:46,-33.6971,-53.4616,80.85,65,8,11.25
129,Green River,US,2021-01-27 18:41:46,41.5286,-109.4662,19.4,68,1,4.61
130,Port Hedland,AU,2021-01-27 18:41:47,-20.3167,118.5667,80.6,74,0,8.05
131,Beringovskiy,RU,2021-01-27 18:41:47,63.05,179.3167,16.99,96,100,29.64
132,Castro,BR,2021-01-27 18:41:47,-24.7911,-50.0119,73.51,86,100,9.13
133,Muisne,EC,2021-01-27 18:41:47,0.6,-80.0333,80.6,89,40,9.22
134,Ponta Do Sol,PT,2021-01-27 18:41:47,32.6667,-17.1,64.4,88,20,9.22
135,Fenoarivo,MG,2021-01-27 18:41:47,-18.933,47.4354,68.0,94,75,6.91
136,Lodja,CD,2021-01-27 18:41:47,-3.4833,23.4333,72.21,88,100,2.55
137,Abaete,BR,2021-01-27 18:41:47,-19.16,-45.4458,83.12,51,6,4.34
138,Vanimo,PG,2021-01-27 18:41:48,-2.6741,141.3028,76.89,85,100,6.38
139,Rorvik,NO,2021-01-27 18:41:48,64.8621,11.2373,30.2,100,90,12.66
140,New Norfolk,AU,2021-01-27 18:41:48,-42.7826,147.0587,54.0,58,100,0.36
141,Lavrentiya,RU,2021-01-27 18:36:52,65.5833,-171.0,-2.31,88,100,14.29
142,Aklavik,CA,2021-01-27 18:41:48,68.2191,-135.0107,-13.0,77,100,4.61
143,Ziro,IN,2021-01-27 18:41:48,27.6333,93.8333,35.51,99,0,2.71
144,Krasnokamensk,RU,2021-01-27 18:41:48,50.0979,118.0369,-20.99,82,26,5.99
145,Ransang,PH,2021-01-27 18:41:49,8.9603,117.5828,78.49,82,100,6.85
146,Kavieng,PG,2021-01-27 18:41:49,-2.5744,150.7967,83.1,73,100,9.73
147,Iqaluit,CA,2021-01-27 18:36:51,63.7506,-68.5145,-11.2,77,1,2.3
148,Rio Do Sul,BR,2021-01-27 18:41:49,-27.2142,-49.6431,98.01,73,98,1.99
149,Clyde River,CA,2021-01-27 18:38:26,70.4692,-68.5914,-7.6,77,40,2.3
150,Svetlyy,RU,2021-01-27 18:41:49,54.675,20.1347,35.6,75,75,8.95
151,El Alto,PE,2021-01-27 18:41:49,-4.2714,-81.2147,86.0,54,0,18.41
152,Lixourion,GR,2021-01-27 18:41:49,38.2019,20.4314,46.4,61,75,12.66
153,Cap Malheureux,MU,2021-01-27 18:41:50,-19.9842,57.6142,78.01,81,0,6.49
154,Saldanha,ZA,2021-01-27 18:41:50,-33.0117,17.9442,66.2,59,0,20.71
155,Upernavik,GL,2021-01-27 18:41:50,72.7868,-56.1549,-1.5,91,100,2.89
156,Qasigiannguit,GL,2021-01-27 18:41:50,68.8193,-51.1922,8.6,61,40,2.3
157,Melhus,NO,2021-01-27 18:41:50,63.2855,10.2781,26.01,81,100,1.99
158,Nome,US,2021-01-27 18:41:50,64.5011,-165.4064,5.0,78,1,9.22
159,Fare,PF,2021-01-27 18:41:50,-16.7,-151.0167,81.0,73,80,15.37
160,Luderitz,NA,2021-01-27 18:41:50,-26.6481,15.1594,68.74,58,0,31.27
161,Esperance,AU,2021-01-27 18:41:50,-33.8667,121.9,62.6,88,90,5.75
162,Saint-Denis,FR,2021-01-27 18:41:51,48.9167,2.3333,46.99,93,90,3.44
163,Ust-Nera,RU,2021-01-27 18:41:51,64.5667,143.2,-24.21,76,100,2.91
164,Verkhoyansk,RU,2021-01-27 18:41:51,67.5447,133.385,-48.46,73,85,0.81
165,Souris,CA,2021-01-27 18:37:58,49.6172,-100.2612,-2.0,77,75,4.61
166,Manzil Salim,TN,2021-01-27 18:41:51,35.8567,8.4765,53.6,62,75,6.91
167,Hamilton,US,2021-01-27 18:41:51,39.1834,-84.5333,34.0,69,90,6.91
168,Bridgeton,US,2021-01-27 18:41:51,39.4273,-75.2341,39.99,60,90,13.8
169,Atikokan,CA,2021-01-27 18:41:51,48.7555,-91.6216,-1.95,88,80,3.31
170,Leonding,AT,2021-01-27 18:41:51,48.2799,14.2547,30.99,86,99,3.44
171,Avera,US,2021-01-27 18:41:52,33.194,-82.5271,59.0,77,90,8.05
172,Port Elizabeth,ZA,2021-01-27 18:40:46,-33.918,25.5701,66.2,94,75,6.91
173,Leningradskiy,RU,2021-01-27 18:41:52,69.3833,178.4167,-18.2,87,100,3.53
174,Morrope,PE,2021-01-27 18:41:52,-6.5417,-80.0111,87.01,57,0,19.57
175,Adrar,MR,2021-01-27 18:41:52,20.5022,-10.0711,73.31,18,0,9.6
176,Togur,RU,2021-01-27 18:41:52,58.3631,82.8265,-23.08,86,97,6.29
177,San Francisco,US,2021-01-27 18:40:56,37.7749,-122.4194,54.0,76,75,6.91
178,San Cristobal,VE,2021-01-27 18:37:30,7.7669,-72.225,87.8,51,40,12.66
179,Havre-Saint-Pierre,CA,2021-01-27 18:41:53,50.2334,-63.5986,24.8,54,90,10.36
180,Kinshasa,CD,2021-01-27 18:39:00,-4.3246,15.3215,77.0,83,100,8.05
181,Husavik,IS,2021-01-27 18:38:51,66.0449,-17.3389,17.6,86,75,6.91
182,Carndonagh,IE,2021-01-27 18:41:53,55.25,-7.2667,42.8,100,40,3.44
183,Dunedin,NZ,2021-01-27 18:41:53,-45.8742,170.5036,54.0,64,0,27.0
184,Sao Gabriel Da Cachoeira,BR,2021-01-27 18:41:53,-0.1303,-67.0892,87.8,70,90,4.61
185,Samarai,PG,2021-01-27 18:41:53,-10.6167,150.6667,80.85,84,95,12.24
186,Litovko,RU,2021-01-27 18:41:53,49.2361,135.1742,-8.18,87,0,5.55
187,Cabedelo,BR,2021-01-27 18:41:54,-6.9811,-34.8339,86.0,62,40,14.97
188,Corinto,GR,2021-01-27 18:41:54,37.9407,22.9573,46.99,27,5,3.0
189,Porgera,PG,2021-01-27 18:41:54,-5.4667,143.2,43.18,100,100,2.35
190,Aleksandrovka,UA,2021-01-27 18:41:54,46.8383,32.7612,44.6,100,75,8.95
191,Shangzhi,CN,2021-01-27 18:41:54,45.2167,127.9667,-1.44,91,100,1.25
192,Cherskiy,RU,2021-01-27 18:40:13,68.75,161.3,-23.13,85,100,3.65
193,Tuktoyaktuk,CA,2021-01-27 18:41:54,69.4541,-133.0374,-18.4,76,40,5.75
194,Bethel,US,2021-01-27 18:41:54,41.3712,-73.414,33.8,69,90,12.66
195,Bluff,NZ,2021-01-27 18:41:55,-46.6,168.3333,50.0,86,99,14.0
196,Lompoc,US,2021-01-27 18:41:55,34.6391,-120.4579,50.0,87,90,13.8
197,Lastoursville,GA,2021-01-27 18:41:55,-0.8143,12.7287,76.28,78,96,1.36
198,Alakurtti,RU,2021-01-27 18:41:55,66.9672,30.3491,11.32,95,100,6.73
199,Nkowakowa,ZA,2021-01-27 18:41:27,-23.8878,30.2871,68.0,88,0,8.05
200,College,US,2021-01-27 18:41:55,64.8569,-147.8028,-5.01,69,40,2.21
201,Port Blair,IN,2021-01-27 18:41:55,11.6667,92.75,79.16,80,73,11.3
202,Henties Bay,NA,2021-01-27 18:41:56,-22.116,14.2845,68.0,82,22,6.04
203,Yumen,CN,2021-01-27 18:41:56,40.2833,97.2,18.9,73,0,1.74
204,Cabo San Lucas,MX,2021-01-27 18:41:56,22.8909,-109.9124,73.0,40,97,8.01
205,Yining,CN,2021-01-27 18:41:56,29.0361,114.5636,42.66,90,47,1.83
206,Tabas,IR,2021-01-27 18:41:56,33.5959,56.9244,42.8,26,0,6.91
207,Isangel,VU,2021-01-27 18:37:46,-19.55,169.2667,80.06,83,100,16.51
208,Constitucion,CL,2021-01-27 18:37:30,-35.3333,-72.4167,67.03,48,92,20.71
209,Hami,CN,2021-01-27 18:38:44,42.8,93.45,19.63,82,100,1.39
210,Rio Cuarto,AR,2021-01-27 18:41:56,-33.1307,-64.3499,97.11,13,17,7.96
211,Santiago Del Estero,AR,2021-01-27 18:37:34,-27.7951,-64.2615,95.23,28,51,9.13
212,Tricase,IT,2021-01-27 18:41:57,39.9304,18.3553,44.01,58,54,16.55
213,Yinchuan,CN,2021-01-27 18:39:09,38.4681,106.2731,20.95,67,0,3.33
214,Tigil,RU,2021-01-27 18:41:57,57.8,158.6667,-1.88,93,100,3.96
215,Te Anau,NZ,2021-01-27 18:41:57,-45.4167,167.7167,46.87,77,46,5.37
216,Roald,NO,2021-01-27 18:41:57,62.5833,6.1333,32.0,93,90,9.22
217,Camocim,BR,2021-01-27 18:41:57,-2.9022,-40.8411,84.34,69,39,12.68
218,Kimberley,ZA,2021-01-27 18:41:58,-28.7323,24.7623,62.6,94,40,5.75
219,Wilmington,US,2021-01-27 18:37:58,34.2257,-77.9447,53.6,94,90,5.41
